"","Review..","Brand","Variety","Style","Country","Stars","Flavour"
"1",2531,"Uni-President","pickled cabbage beef","Pack","China","4.25","beef"
"2",2515,"Uni-President","man han feast spicy beef flavor instant noodles","Bowl","Taiwan","5","beef"
"3",2454,"KOKA","silk beef pho flavor instant rice fettuccine","Bowl","Singapore","3.25","beef"
"4",2439,"Uni-President","man han feast super hot pot beef flavor instant noodles","Bowl","Taiwan","5","beef"
"5",2416,"Xiuhe","hot & sour beef noodles","Bowl","China","4.25","beef"
"6",2413,"Nissin","cup noodles beef flavour","Cup","Hong Kong","2.5","beef"
"7",2385,"Uni-President","man han feast chilli beef flavor instant noodles","Bowl","Taiwan","4.75","beef"
"8",2384,"Sichuan Guangyou","9999 chongqing artificial beef flavor instant noodle","Pack","China","4.25","beef"
"9",2380,"Pulmuone","non-fried ramyun with spicy beef broth","Pack","South Korea","3.75","beef"
"10",2362,"Chuan Wei Wang","bowl instant noodles artificial spicy beef flavor","Bowl","China","4","beef"
"11",2314,"Nissin","cup noodles spicy beef flavour","Cup","Hong Kong","4.00","beef"
"12",2310,"Pran","mr. noodles instant noodles beef flavour","Pack","Bangladesh","4","beef"
"13",2297,"Chuan Wei Wang","bowl instant noodles artificial beef with sauerkraut flavor","Bowl","China","3","beef"
"14",2275,"JML","hot & sour beef noodles","Pack","China","4","beef"
"15",2263,"Sichuan Baijia","broad noodle artificial beef flavor hot pot","Pack","China","4","beef"
"16",2244,"Kang Shi Fu","artificial spicy beef flavour","Pack","Hong Kong","4","beef"
"17",2241,"Fuku","spicy soup instant noodle beef flavour","Pack","Hong Kong","4","beef"
"18",2229,"Kang Shi Fu","artificial beef with sauerkraut flavour","Pack","Hong Kong","4","beef"
"19",2173,"MAMA","instant rice noodles stew beef flavour","Pack","Thailand","4","beef"
"20",2166,"JML","instant noodle artificial beef flavor 7 sour pickled cabbage","Pack","China","4","beef"
"21",2136,"Nissin","demae ramen roast beef flavour instant noodles","Pack","Hong Kong","4","beef"
"22",2130,"Kang Shi Fu","artificial salted beef with mushrooms flavour","Pack","Hong Kong","4","beef"
"23",2088,"Nissin","demae iccho beef flavour instant noodle","Bowl","Hong Kong","4","beef"
"24",2081,"Nissin","cup mifun spicy beef flavour","Cup","Hong Kong","4","beef"
"25",2078,"Nissin","demae iccho curry beef flavour","Cup","Hong Kong","4","beef"
"26",2059,"Four Seas","beef and radish flavour instant noodle","Pack","Hong Kong","2.5","beef"
"27",2032,"Kamfen","noodle king artificial beef soup flavored","Bowl","Hong Kong","3.75","beef"
"28",2020,"Kang Shi Fu","artificial roasted beef","Pack","China","3.5","beef"
"29",2006,"Kamfen","wonton noodles beef flavour","Bowl","Hong Kong","3.75","beef"
"30",1952,"Ve Wong","kung-fu brand instant oriental noodle soup artificial beef flavor","Pack","Taiwan","3.75","beef"
"31",1924,"Sichuan Baijia","broad noodle artificial beef flavor","Pack","China","3.5","beef"
"32",1890,"Kuriki","beef tongue shio mayo ramen","Pack","Japan","4.5","beef"
"33",1863,"Baijia","broad noodle pickled vegetable artificial beef flavor","Pack","China","0","beef"
"34",1826,"Mama","instant noodles stewed beef flavour","Pack","Cambodia","3.5","beef"
"35",1816,"Vifon","asian style instant noodles artificial beef flavor","Bowl","Vietnam","3.25","beef"
"36",1775,"JML","spicy king bowl noodle spicy beef","Bowl","China","4.25","beef"
"37",1772,"JML","spicy king spicy beef","Pack","China","5","beef"
"38",1771,"JML","supreme bowl noodles with stewed egg braised beef flavour","Bowl","China","3.5","beef"
"39",1740,"Master Kong","braised beef noodle","Pack","China","4.25","beef"
"40",1723,"Baixiang Noodles","artificial beef instant noodles with soup base","Pack","China","3.75","beef"
"41",1690,"Wugudaochang","sour bamboo shoot & beef if hot pot flavor noodles","Bowl","China","4","beef"
"42",1689,"Wugudaochang","tomato beef brisket flavor purple potato noodle","Pack","China","5","beef"
"43",1682,"Wugudaochang","sour bamboo shoot & beef if hot pot flavor noodles","Pack","China","4","beef"
"44",1679,"Ten-In","veggie world vegetarian braised beef instant noodles","Bowl","Taiwan","3.5","beef"
"45",1661,"Chencun","senior food rice noodle fragrant peppery beef","Cup","China","3.75","beef"
"46",1655,"Baijia","artificial pickled vegetable beef flavor","Pack","China","3","beef"
"47",1633,"A-One","mi ly instant noodles mi bo beef flavor","Cup","Vietnam","3.5","beef"
"48",1627,"Vedan","wei wei a instant noodles hot beef flavour","Bowl","Taiwan","2.5","beef"
"49",1616,"Unif-100","instant noodles artificial spicy beef flavor (new package)","Pack","China","3.5","beef"
"50",1568,"Mama","instant noodles cup beef flavour","Cup","Thailand","3.5","beef"
"51",1559,"Master Kong","spicy beef flavor instant noodle","Pack","China","4","beef"
"52",1546,"Nissin","demae rice vermicelli beef flavour","Pack","Hong Kong","3.5","beef"
"53",1542,"Koka","noodles beef flavour","Cup","Singapore","2.5","beef"
"54",1540,"Unif-100","instant noodles artificial shallot beef flavour","Pack","China","4.25","beef"
"55",1530,"Lucky Me!","spicy beef mami instant noodle soup","Pack","Philippines","4","beef"
"56",1504,"Master Kong","stewed beef flavor cooking noodle","Pack","China","4.25","beef"
"57",1499,"United","instant noodles xi gon artificial stewed beef flavor","Pack","Vietnam","3.25","beef"
"58",1483,"Four Seas","hot & spicy instant noodle (mushroom & beef flavour)","Pack","Hong Kong","4","beef"
"59",1460,"Nissin","premium instant noodles spicy beef flavour","Pack","Singapore","3.75","beef"
"60",1458,"Nissin","premium instant noodles roasted beef flavour","Bowl","Singapore","3.75","beef"
"61",1452,"Nissin","premium instant noodles spicy beef flavour","Bowl","Singapore","3.75","beef"
"62",1448,"Nissin","premium instant noodles roasted beef flavour","Pack","Singapore","4.25","beef"
"63",1440,"Wu-Mu","dried noodle with beef flavor sauce","Pack","Taiwan","3","beef"
"64",1436,"Chencun","rice noodle beef with brown sauce","Cup","China","3.5","beef"
"65",1409,"Baixiang Noodles","spicy artificial beef flavour instant noodles with soup base","Pack","China","3.5","beef"
"66",1365,"Four Seas","seaweed hot & spicy instant noodle mushroom & beef flavour","Bowl","Hong Kong","3.5","beef"
"67",1327,"Unif","unif-100 instant noodles artificial tart beef flavor","Pack","China","3","beef"
"68",1324,"Ruski","instant noodles stewed beef flavour","Pack","Thailand","3.5","beef"
"69",1314,"Paldo","korean traditional beef gomtangmen","Pack","South Korea","5","beef"
"70",1298,"Good Tto Leu Foods","lightning beef bone tteokguk rice cake soup","Bowl","South Korea","4","beef"
"71",1289,"JML","braised beef noodles","Pack","China","4","beef"
"72",1272,"Samyang Foods","baked noodle spicy grilled beef ramyun","Pack","South Korea","3.5","beef"
"73",1248,"Wu-Mu","beef flavour tomato ramen","Pack","Taiwan","4","beef"
"74",1244,"Unif","unif-100 pickled cayenne flavor beef ramen","Pack","China","3.75","beef"
"75",1226,"Master Kong","artificial braised beef flavor instant noodle","Bowl","China","3.75","beef"
"76",1218,"Sau Tao","ho fan beef soup flavored","Pack","China","3.75","beef"
"77",1214,"Eat & Go","rendang beef flavour fried instant noodle","Cup","Indonesia","5","beef"
"78",1163,"Chewy","rice vermicelli spicy beef with chilli flavour","Pack","China","3.25","beef"
"79",1135,"Indomie","instant noodle beef & lime flavour","Pack","Indonesia","4.25","beef"
"80",1111,"Golden Wheat","korean style stew beef cooking noodle","Pack","China","3.25","beef"
"81",1108,"Chencun","spicy beef","Cup","China","3.5","beef"
"82",1027,"Samyang Foods","yukgaejang beef ramyun","Bowl","South Korea","4","beef"
"83",1021,"Samyang Foods","beef flavor ramyun (sk version)","Pack","South Korea","4.25","beef"
"84",1010,"Golden Wheat","korean style spicy beef noodle soup","Bowl","China","3.75","beef"
"85",1001,"Paldo","îû®ò†êö (dosirac) beef flavor","Pack","South Korea","3.5","beef"
"86",998,"Nongshim","shin ramyun black spicy beef","Cup","South Korea","4.5","beef"
"87",915,"Wai Wai","casserole beef flavour","Pack","Thailand","3.5","beef"
"88",902,"Sunlee","pho bo beef flavour rice stick","Bowl","Thailand","3.25","beef"
"89",842,"JML","artificial stew beef","Bowl","China","3.75","beef"
"90",821,"Master Kong","potatoes & stewed beef","Pack","China","5","beef"
"91",814,"Indomie","beef","Pack","Indonesia","3.5","beef"
"92",812,"Master Kong","spicy beef","Pack","China","3.75","beef"
"93",803,"Master Kong","premium taste roasted beef","Bowl","China","4","beef"
"94",788,"Uni-President","100 beef with sauerkraut","Pack","Taiwan","4.75","beef"
"95",781,"Vina Acecook","kingcook beef","Pack","Vietnam","3","beef"
"96",766,"Fashion Foods","beef pho","Bowl","Thailand","3.75","beef"
"97",744,"Payless","instant mami beef","Pack","Philippines","3.25","beef"
"98",739,"JML","artificial spicy beef","Bowl","China","3.5","beef"
"99",729,"Indomie","mi goreng jumbo beef","Pack","Indonesia","5","beef"
"100",711,"Nongshim","hearty rice noodle beef","Pack","South Korea","4.25","beef"
"101",707,"Mee Jang","noodle soup spicy beef garlic onion","Bowl","Thailand","3.25","beef"
"102",705,"Golden Wheat","south korean style beef","Cup","China","3.5","beef"
"103",660,"Lucky Me!","beef na beef","Pack","Philippines","3.75","beef"
"104",642,"Little Cook","spicy beef","Cup","Thailand","2.75","beef"
"105",640,"Master Kong","artificial spicy beef","Pack","China","4.25","beef"
"106",629,"Master Kong","artificial braised beef","Pack","China","4.25","beef"
"107",628,"Lucky Me!","supreme la paz batchoy beef garlic","Bowl","Philippines","3.5","beef"
"108",609,"Wei Wei","""a"" series artificial hot beef","Pack","Taiwan","3.75","beef"
"109",545,"Golden Wheat","south korean style spicy beef","Pack","China","3.5","beef"
"110",531,"Yum Yum","beef","Pack","Thailand","3.25","beef"
"111",525,"JML","artificial spicy hot beef","Pack","China","3.75","beef"
"112",522,"Samyang","hot beef","Pack","South Korea","4.25","beef"
"113",508,"Samyang","beef","Cup","South Korea","3.75","beef"
"114",506,"Nongshim","oolongmen beef","Cup","South Korea","2.5","beef"
"115",505,"JML","artificial spicy beef","Pack","China","3.5","beef"
"116",502,"Sunlee","beef rice stick","Bowl","Thailand","2","beef"
"117",499,"Dragonfly","artificial beef","Bowl","China","4.75","beef"
"118",492,"Noah Foods","phoya rice noodles beef","Bowl","Vietnam","2.75","beef"
"119",491,"JML","artificial stew beef","Pack","China","3.75","beef"
"120",477,"Mr. Udon","malaysian beef udon","Pack","South Korea","3","beef"
"121",466,"Saigon Ve Wong","kung fu rice noodle artificial beef","Bowl","Vietnam","3.5","beef"
"122",461,"Samyang","sutah hot spicy beef","Pack","South Korea","3.5","beef"
"123",458,"Ve Wong","kung fu artificial beef rice noodle","Bowl","Taiwan","3.75","beef"
"124",449,"Wu Mu","beef flavor ramen","Pack","Taiwan","4.25","beef"
"125",438,"Samyang","beef","Bowl","South Korea","3.75","beef"
"126",436,"Unif","artificial beef with sauerkraut","Bowl","Taiwan","3.75","beef"
"127",417,"Vifon","tu quy spicy beef","Pack","Vietnam","3.5","beef"
"128",415,"Ve Wong","artificial classic beef","Bowl","Taiwan","3.75","beef"
"129",414,"Doll","artificial beef flavor","Pack","Hong Kong","2.5","beef"
"130",406,"Vifon","asian style instant noodles beef","Pack","Vietnam","3.75","beef"
"131",398,"Paldo","bowl noodle beef with vegetables","Bowl","South Korea","3.75","beef"
"132",385,"Ve Wong","hot of hots artificial black peppered beef","Bowl","Taiwan","1.25","beef"
"133",381,"Saigon Ve Wong","kung fu artificial beef rice noodle","Pack","Vietnam","4.25","beef"
"134",378,"Ve Wong","hot of hots artificial satay beef","Bowl","Taiwan","3.75","beef"
"135",375,"Vifon","pho bo beef rice noodle","Pack","Vietnam","0.5","beef"
"136",364,"Sao Tao","noodle king beef hong kong style","Bowl","Hong Kong","2.5","beef"
"137",335,"Goku Uma","hot & spicy beef","Bowl","Japan","3.5","beef"
"138",329,"Mee Jang","artificial beef flavor","Bowl","Thailand","3.5","beef"
"139",321,"Little Cook","tvp spicy beef","Bowl","Thailand","4.75","beef"
"140",318,"Unif","super bowl artificial pickled chilli beef","Bowl","Taiwan","3.25","beef"
"141",315,"Unif","super bowl artificial spicy beef","Bowl","Taiwan","2.75","beef"
"142",310,"Lucky Me!","la paz batchoy beef","Pack","Philippines","2.5","beef"
"143",309,"Paldo","dosirac beef","Tray","South Korea","3.75","beef"
"144",305,"Lucky Me!","supreme special beef carne de vaca","Bowl","Philippines","3.75","beef"
"145",304,"Mama","pho bo rice noodle artificial beef","Bowl","Thailand","3.5","beef"
"146",302,"Samyang","bowl noodle picante beef","Bowl","South Korea","3.75","beef"
"147",290,"Doll","spicy artificial beef","Pack","Hong Kong","3","beef"
"148",288,"Saigon Ve Wong","kung fu artificial beef rice noodle","Pack","South Korea","3.25","beef"
"149",277,"Vina Acecook","oh! ricey beef rice noodles","Pack","Vietnam","4","beef"
"150",262,"Vina Acecook","daily beef ball","Pack","Vietnam","3.75","beef"
"151",249,"Unif","100 artificial spicy beef","Pack","Taiwan","3.75","beef"
"152",232,"Indomie","mi goreng jumbo beef","Pack","Indonesia","5","beef"
"153",177,"Vifon","hu tieu bo kho an lien beef","Pack","Vietnam","3.75","beef"
"154",164,"Unif / Tung-I","artificial beef flavor","Pack","Taiwan","3.75","beef"
"155",139,"Kamfen","noodle king beef","Pack","China","1.75","beef"
"156",132,"Ve Wong","artificial peppered beef","Pack","Taiwan","3.5","beef"
"157",120,"Samyang","beef","Pack","South Korea","4","beef"
"158",100,"Unif / Tung-I","artificial chinese beef","Pack","Taiwan","2.85","beef"
"159",95,"Wei Lih","artificial beef flavor","Pack","Taiwan","1","beef"
"160",81,"Unif / Tung-I","artificial spicy beef","Pack","Taiwan","3.5","beef"
"161",73,"Nissin","demae ramen five spices artificial beef","Pack","Japan","3.5","beef"
"162",8,"Tung-I","chinese beef instant rice noodle","Pack","Taiwan","3","beef"
"163",2579,"Just Way","noodles spicy hot sesame spicy hot sesame guan-miao noodles","Pack","Taiwan","1","spicy"
"164",2571,"KOKA","the original spicy stir-fried noodles","Pack","Singapore","2.5","spicy"
"165",2547,"Sichuan Guangyou","chongqing spicy hot noodles","Bowl","China","4","spicy"
"166",2540,"Wei Lih","gge noodle snack wheat crackers mexican spicy","Pack","Taiwan","3.25","spicy"
"167",2515,"Uni-President","man han feast spicy beef flavor instant noodles","Bowl","Taiwan","5","spicy"
"168",2475,"Maruchan","seimen red spicy dandan men","Bowl","Japan","4.75","spicy"
"169",2464,"Wang","extreme spicy hot chicken flavor udon","Bowl","South Korea","2","spicy"
"170",2456,"KOKA","signature spicy singapore fried noodles instant noodles","Pack","Singapore","4.25","spicy"
"171",2453,"KOKA","delight spicy sesame flavor instant non-fried noodles","Pack","Singapore","4.5","spicy"
"172",2451,"KOKA","delight spicy black pepper flavor instant non-fried noodles","Pack","Singapore","5","spicy"
"173",2444,"KOKA","silk spicy marinara instant rice fettuccine","Bowl","Singapore","5","spicy"
"174",2432,"Fashion Food","yummy spicy rice soup with seafood","Bowl","Thailand","3.5","spicy"
"175",2420,"Nissin","cup noodles spicy seafood flavor","Cup","China","3.75","spicy"
"176",2407,"Just Way","chuan wei spicy guan-miao noodles","Pack","Taiwan","4.5","spicy"
"177",2406,"Sichuan Guangyou","sweet potato instant noodle braised spicy chitterling flavor","Pack","China","0.25","spicy"
"178",2405,"Nissin","cup noodles mini spicy seafood","Cup","Hong Kong","4","spicy"
"179",2398,"Liang Cheng Mai","shaanxi cold noodle: mustard spicy","Tray","China","1","spicy"
"180",2391,"Ottogi","jin jjambbong spicy seafood ramyun","Pack","South Korea","5","spicy"
"181",2380,"Pulmuone","non-fried ramyun with spicy beef broth","Pack","South Korea","3.75","spicy"
"182",2372,"Liu Quan","instant spicy rice noodle","Bowl","China","4","spicy"
"183",2367,"Samyang Foods","2x spicy haek buldak bokkeummyun","Pack","South Korea","4","spicy"
"184",2362,"Chuan Wei Wang","bowl instant noodles artificial spicy beef flavor","Bowl","China","4","spicy"
"185",2356,"Nongshim","spicy shrimp cup noodle","Cup","South Korea","4","spicy"
"186",2318,"Happy Cook","sichuan spicy flavor","Pack","Taiwan","5.0","spicy"
"187",2316,"Nissin","cup noodle spicy curry chicken","Cup","Japan","5","spicy"
"188",2314,"Nissin","cup noodles spicy beef flavour","Cup","Hong Kong","4.00","spicy"
"189",2304,"Maggi","2 minute noodles masala spicy","Pack","India","5","spicy"
"190",2300,"Nissin","demae ramen spicy xo sauce seafood flavour instant noodle","Pack","Hong Kong","4","spicy"
"191",2292,"Sichuan Baijia","chongqing noodles spicy hot flavor","Pack","China","5","spicy"
"192",2279,"Nissin","demae iccho spicy tonkotsu flavour instant noodle (bowl noodle)","Bowl","Hong Kong","5","spicy"
"193",2272,"Nissin","demae iccho spicy kimchi pot flavour instant noodle (bowl noodle)","Bowl","Hong Kong","4","spicy"
"194",2250,"Nissin","demae iccho spicy xo sauce seafood flavour","Pack","Hong Kong","4","spicy"
"195",2244,"Kang Shi Fu","artificial spicy beef flavour","Pack","Hong Kong","4","spicy"
"196",2241,"Fuku","spicy soup instant noodle beef flavour","Pack","Hong Kong","4","spicy"
"197",2232,"Nissin","spicy chikin donburi","Bowl","Japan","5","spicy"
"198",2218,"Tseng Noodles","spicy braised pork flavor","Pack","Taiwan","4","spicy"
"199",2217,"Nissin","demae ramen spicy seafood flavour instant noodle","Pack","Hong Kong","5","spicy"
"200",2216,"A-Sha Dry Noodle","chow mein spicy flavor","Tray","Taiwan","3","spicy"
"201",2215,"Myojo","mee goreng spicy flavour","Pack","Singapore","5","spicy"
"202",2209,"Nissin","demae ramen spicy hot tonkotsu flavour instant noodle","Pack","Hong Kong","5","spicy"
"203",2155,"Jingqi","aloe vera guan mian purple sweet potato noodle with spicy miso sauce","Pack","Taiwan","4","spicy"
"204",2150,"Jingqi","black eyes bean purple sweet potato noodle with spicy miso sauce","Pack","Taiwan","3","spicy"
"205",2137,"Nissin","demae ramen spicy curry flavour instant noodles","Pack","Hong Kong","4","spicy"
"206",2129,"CarJEN","hot & spicy dry curry with chives soup","Pack","Malaysia","5","spicy"
"207",2112,"Nissin","chilli noodles spicy tom yum flavour","Pack","Thailand","4","spicy"
"208",2094,"Nongshim","champong noodle soup spicy seafood flavor","Pack","South Korea","5","spicy"
"209",2081,"Nissin","cup mifun spicy beef flavour","Cup","Hong Kong","4","spicy"
"210",2077,"Nissin","cup noodles big spicy seafood flavour","Cup","Hong Kong","5","spicy"
"211",2018,"Pulmuone","noodle with spicy oyster soup","Pack","South Korea","4","spicy"
"212",2008,"Sichuan Baijia","hot spicy flavor instant vermicelli","Bowl","China","3.5","spicy"
"213",2005,"A-Sha Dry Noodle","hakka spicy barbeque sauce","Pack","Taiwan","4.50","spicy"
"214",1976,"Itsuki","kumamoto spicy ramen","Pack","Japan","4.25","spicy"
"215",1972,"Doll","spicy flavour instant mifun","Pack","Hong Kong","2.75","spicy"
"216",1965,"MyKuali","penang spicy prawn soup noodle authentic taste","Pack","Malaysia","5","spicy"
"217",1956,"Maruchan","spicy tomato salsa ramen","Cup","Japan","0","spicy"
"218",1944,"Wei Lih","gge noodle snack wheat crackers hot spicy","Pack","Taiwan","5","spicy"
"219",1934,"Love Cook","guanmiao dried noodles with spicy sauce","Pack","Taiwan","5","spicy"
"220",1901,"Prima","juzz's mee original spicy flavour","Pack","Singapore","5","spicy"
"221",1898,"Master Kong","spicy fish noodle","Bowl","China","3","spicy"
"222",1884,"Myojo","la ramen spicy mushroom flavour big bowl","Bowl","Singapore","4.5","spicy"
"223",1882,"Myojo","la ramen spicy lobster hot pot flavour big bowl","Bowl","Singapore","4.75","spicy"
"224",1878,"Myojo","extra spicy singapore curry big bowl","Bowl","Singapore","5","spicy"
"225",1877,"Myojo","la ramen spicy mushroom flavour","Pack","Singapore","4.5","spicy"
"226",1866,"MyKuali","penang spicy prawn soup noodle","Pack","Malaysia","5","spicy"
"227",1841,"Forest Noodles","sunbaked noodles with spicy sauce","Pack","Taiwan","4","spicy"
"228",1823,"MyKuali","meekuali spicy fried noodle","Pack","Malaysia","4","spicy"
"229",1801,"Baijia","spicy artificial fei chang instant vermicelli (new recipe)","Pack","China","3.75","spicy"
"230",1778,"JML","spicy king spicy chicken","Pack","China","5","spicy"
"231",1777,"JML","supereme bowl noodles with stewed egg spicy flavour","Bowl","China","3.5","spicy"
"232",1776,"JML","spicy king bowl noodle spicy chicken","Bowl","China","5","spicy"
"233",1775,"JML","spicy king bowl noodle spicy beef","Bowl","China","4.25","spicy"
"234",1774,"JML","spicy king spicy pork","Pack","China","5","spicy"
"235",1772,"JML","spicy king spicy beef","Pack","China","5","spicy"
"236",1770,"JML","spicy king bowl noodle spicy pork","Bowl","China","4.5","spicy"
"237",1755,"Mama","oriental style instant noodles hot & spicy flavour","Pack","Bangladesh","4","spicy"
"238",1754,"Paldo","king bowl super spicy pan stirfried noodle","Bowl","South Korea","5","spicy"
"239",1751,"Mom's Dry Noodle","spicy & sour flavor","Pack","Taiwan","5","spicy"
"240",1714,"Master Kong","sichuan hot spicy fish","Pack","China","3.75","spicy"
"241",1704,"Baixiang Noodles","sour & spicy flavour","Pack","China","3.75","spicy"
